steming_data,Score,Sentiment
presiden omong kosong,-1,Negatif
malu pada,-1,Negatif
anda orang pak anda santai ini anda,-2,Negatif
bicara,0,Netral
presidennku yes ok,2,Positif
lihat indonesia gelap orang tertawa suara orang -orang,1,Positif
indonesia gelap orang tuntut apapaun negara,-2,Negatif
indonesia gelap tuh orang kerja ya tidur,1,Positif
indonesia gelap korupsi raja lela,-3,Negatif
presiden tipu tipu sekaarang presiden omon omon,0,Netral
tiada omon omon,-2,Negatif
indonesia gelap nurani jujur gila kuasa,0,Netral
kelas presiden tanggap ya valid tidak protes rakyat ya baik ditanggepi evaluasi,1,Positif
peka omon,0,Netral
maju prabowo mas gibran,0,Netral
lansia kapai pilih sih gapeka eeeh sensian,-1,Negatif
kayak dengar masyarakat ya,1,Positif
langsung hidup,1,Positif
alhamdulillah pilih,0,Netral
langsung hidup,1,Positif
tau kali gagal presiden,-1,Negatif
suara pilpres peka rasa rakyat rasa,-1,Negatif
food estate kabar omon,-1,Negatif
omong omong,-2,Negatif
presiden model anak anak gelap,-1,Negatif
krj bukti ubah omon omon,-3,Negatif
untung pilih,-1,Negatif
nih aki aki omong,-1,Negatif
indonesia krisis percaya pimpin pimpin peka aspirasi rakyat gaji susah rakyat ekonomi phk mana benah terima kritik,-1,Negatif
raja omon omon,-2,Negatif
bel,0,Netral
bel,0,Netral
mahasewa gelap,-2,Negatif
fakta sepi,-2,Negatif
kaluarga ya pakai gas subsidi beli listrik diskon pergi demo pakai pertalite anak ya demo indonesia gelap,-2,Negatif
moga sukses prabowo gibran,2,Positif
jaman demo perintah jalan,-2,Negatif
abang indonesiaterangbenderang,0,Netral
dema demo kuliah kak siapin diri mental skripsi,-2,Negatif
bravo presiden prabowo,1,Positif
gelap harness saudara,-1,Negatif
tuju indonesia maju bijak presiden prabowo subianto baik segala bidang hidup,1,Positif
indonesia terang habis kena diskon listrik persen bantu hemat keluar,0,Netral
indonesia terang bukti ya pln diskon,1,Positif
indonesia maju terang sehat prabowo,0,Netral
ya allah moga prabowo umur pimpin negeri,3,Positif
indonesiadaruratliterasi,0,Netral
ri sabar pimpin negara hancur,1,Positif
indonesia untung presiden prabowo,1,Positif
jenis kayak baca demo,-2,Negatif
cek data fakta ng suka iya prabowo presiden baik,-2,Negatif
hati hati abang title ternak,0,Netral
mantap sehat prabowo umur indonesia makmur generasi emas,1,Positif
mobil mahasewa baru kpk ngawal hasto,0,Netral
salam brother indobesia bright,0,Netral
demo presidenya pilih eh,-2,Negatif
prabowo subianto periode,0,Netral
ya mahasewa,0,Netral
mantap prabowo subianto presiden ri semangat,2,Positif
indonesia terang,0,Netral
tangga monyet kamu tau eksperimen pisang,-2,Negatif
sdm tultok,0,Netral
olympus has fallen ah negara,0,Netral
mengapa,0,Netral
benerin fasilitas didik mbak,0,Netral
saking template buzzer postingan demo hapal gua isi komennya wkwkwk,-2,Negatif
bilang mahasewa bro uang pangkal ya juta juta,2,Positif
voiceovernya lemes,-1,Negatif
jirrr komentar buzzernya cair,-1,Negatif
sdm tiktok beda banget twiter,0,Netral
butuh ya didik adil,0,Netral
terima kasih mahasiswa,1,Positif
buka komen boom buzzer,-1,Negatif
wkwk tiktok beda banget orang orang buset buzzer,-1,Negatif
buzzernya banget semangat turun jalan,1,Positif
sigh buka komen,0,Netral
coba lihat postingan gerindra said the buzzers,1,Positif
gerindra hama,-1,Negatif
hidup mahasiswa,0,Netral
banget buzzernya anggar gede kali ya,3,Positif
komentar mahasewa leleh,-1,Negatif
sdm indonesia rendah fakta,-2,Negatif
bangga adek mahasiswa melek politik langsung berani suara turun jalan aspirasi harap agent of change kritis cerdas semangat,0,Netral
kesini paham mahasiswa suara aspirasi,0,Netral
hidup mahasiswa,0,Netral
pakai bahasa inggris bang biar buzzer,-2,Negatif
